Date/Time,Lat,Long,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,VIN,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm
30/01/2020 08:24,52 35.29686,-3 51.24659,259,24,343,970584,740504,390.62,37.805,4076,4063,4069,13,0,51.6,10.9,50.7,10.4,none,none,49.2,9.6,-4071,-4071,-4067,-4067,-4072,-4070,-4067,-4074,-4069,-4071,-4072,-4071,-4067,-4070,-4067,-4070,-4069,-4070,-4067,-4070,-4072,-4069,-4072,-4070,-4067,-4070,-4067,-4067,-4069,-4070,-4071,-4067,-4072,-4069,-4067,-4067,4067,-4074,-4063,-4071,-4072,-4074,-4067,-4071,-4068,-4070,-4072,-4067,-4071,-4069,-4068,-4067,-4073,-4071,-4071,-4071,-4073,-4069,-4072,-4065,-4069,-4070,-4066,-4070,-4072,-4069,-4067,-4076,-4068,-4071,-4071,-4067,-4069,-4070,-4067,-4071,-4073,-4071,-4071,-4072,-4068,-4069,-4071,-4074,-4071,-4071,-4066,-4072,-4071,-4070,-4070,-4064,-4071,-4069,-4067,-4070,0.75,SJNFAAZE0U6064208,79.14,14.24,67713,251,1297,36.25,36.25,34.75,39,8,91.45,-8927,99,1580372664,10600,4,10,0,11,8,0,0,0,4,390.78,390.78,7F,1,1,1,80,52,40,40,4153,4297,19,9.5
30/01/2020 08:24,52 35.24399,-3 51.36129,278,23,343,969028,740504,391.87,20.58,4088,4076,4082,12,0,51.4,10.8,50.7,10.4,none,none,49.2,9.6,-4083,-4085,-4082,-4081,-4083,-4084,-4086,-4084,-4084,-4085,-4078,-4081,-4082,-4088,-4082,-4084,-4080,-4084,-4082,-4084,-4083,-4088,-4078,-4079,-4082,-4084,-4082,-4081,-4084,-4088,-4082,-4081,-4083,-4079,-4082,-4081,4082,-4088,-4082,-4081,-4083,-4084,-4082,-4085,-4078,-4084,-4082,-4076,-4083,-4088,-4083,-4081,-4086,-4085,-4082,-4081,-4084,-4083,-4082,-4079,-4083,-4084,-4082,-4079,-4083,-4088,-4082,-4082,-4084,-4080,-4082,-4076,-4087,-4084,-4082,-4081,-4086,-4080,-4078,-4082,-4084,-4083,-4082,-4083,-4082,-4080,-4087,-4086,-4078,-4084,-4082,-4084,-4087,-4083,-4082,-4079,0.42,SJNFAAZE0U6064208,79.14,12.96,67714,251,1297,36.5,36.25,34.75,36.5,8,91.45,-8927,99,1580372683,4240,4,9,0,12,7,0,0,0,4,391.3,391.3,7F,1,1,1,80,52,40,40,3683,3810,19,34.75
30/01/2020 08:24,52 35.2044,-3 51.52347,262,36,342,966239,740504,385.34,71.383,4022,4002,4014,20,0,51.8,11,50.9,10.5,none,none,49.4,9.7,-4015,-4019,-4017,-4019,-4017,-4018,-4012,-4022,-4014,-4019,-4017,-4019,-4017,-4018,-4017,-4013,-4014,-4018,-4017,-4018,-4017,-4017,-4012,-4022,-4017,-4018,-4017,-4015,-4014,-4018,-4016,-4019,-4017,-4017,-4017,-4015,4012,-4022,-4017,-4015,-4017,-4022,-4012,-4019,-4017,-4018,-4017,-4010,-4015,-4022,-4017,-4015,-4015,-4019,-4019,-4019,-4018,-4017,-4017,-4022,-4013,-4018,-4015,-4018,-4017,-4017,-4021,-4016,-4005,-4009,-4003,-4004,-4009,-4007,-4005,-4009,-4010,-4009,-4003,-4002,-4005,-4007,-4005,-4012,-4008,-4009,-4003,-4010,-4008,-4004,-4003,-4015,-4004,-4007,-4009,-4007,0,SJNFAAZE0U6064208,79.14,12.96,67714,251,1297,36.25,36.5,34.75,36.5,8,91.45,-8927,99,1580372699,26200,4,4,0,11,2,0,0,0,4,386.5,386.5,7F,1,1,1,80,53,40,40,5884,6088,19,63.75
30/01/2020 08:25,52 35.21637,-3 51.77354,265,45,341,961812,740504,386.98,51.106,4040,4024,4031,16,0,51.6,10.9,50.9,10.5,none,none,49.4,9.7,-4029,-4030,-4029,-4025,-4030,-4033,-4029,-4028,-4031,-4030,-4025,-4025,-4025,-4033,-4029,-4033,-4027,-4033,-4025,-4028,-4025,-4028,-4034,-4033,-4029,-4028,-4029,-4030,-4027,-4028,-4029,-4030,-4030,-4028,-4029,-4030,4029,-4037,-4025,-4025,-4025,-4033,-4029,-4030,-4025,-4033,-4029,-4030,-4024,-4032,-4030,-4030,-4032,-4029,-4033,-4030,-4035,-4032,-4029,-4033,-4032,-4029,-4033,-4033,-4033,-4036,-4028,-4039,-4034,-4037,-4032,-4033,-4038,-4032,-4033,-4033,-4036,-4037,-4032,-4030,-4034,-4036,-4032,-4033,-4032,-4037,-4036,-4037,-4032,-4028,-4036,-4040,-4037,-4036,-4028,-4032,0,SJNFAAZE0U6064208,79.14,13.04,67714,251,1297,36.5,36.5,34.75,36.75,8,91.45,-8927,99,1580372715,17040,4,2,0,10,0,0,0,0,4,387.21,387.21,7F,1,1,1,80,53,40,40,7344,7599,19,29
30/01/2020 08:25,52 35.16295,-3 52.07379,259,52,340,958524,740504,386.5,48.211,4033,4020,4026,13,0,51.8,11,50.9,10.5,none,none,49.6,9.8,-4029,-4029,-4028,-4033,-4029,-4027,-4023,-4023,-4026,-4024,-4024,-4024,-4024,-4027,-4024,-4027,-4026,-4027,-4024,-4027,-4029,-4027,-4028,-4027,-4028,-4032,-4028,-4024,-4026,-4032,-4028,-4029,-4024,-4022,-4024,-4024,4025,-4028,-4020,-4021,-4030,-4028,-4024,-4030,-4025,-4024,-4025,-4021,-4024,-4032,-4030,-4030,-4028,-4025,-4024,-4025,-4027,-4027,-4025,-4028,-4028,-4029,-4024,-4028,-4025,-4023,-4029,-4023,-4026,-4025,-4024,-4025,-4030,-4024,-4025,-4025,-4028,-4025,-4024,-4022,-4026,-4028,-4029,-4026,-4024,-4025,-4024,-4031,-4024,-4024,-4028,-4024,-4024,-4023,-4029,-4028,0,SJNFAAZE0U6064208,79.14,12.96,67714,251,1297,36.75,36.5,34.75,36.75,8,91.45,-8927,99,1580372730,15880,4,5,0,10,3,0,0,0,4,386.43,386.43,7F,1,1,1,80,54,40,40,8349,8638,19,24
30/01/2020 08:25,52 35.06955,-3 52.33481,255,52,339,954930,740504,384.77,55.819,4018,4002,4008,16,0,51.8,11,51,10.6,none,none,49.6,9.8,-4009,-4010,-4009,-4010,-4010,-4013,-4009,-4004,-4007,-4005,-4010,-4010,-4005,-4008,-4005,-4004,-4007,-4013,-4005,-4008,-4005,-4003,-4009,-4008,-4009,-4008,-4005,-4005,-4002,-4008,-4009,-4010,-4005,-4008,-4005,-4005,4009,-4013,-4005,-4005,-4010,-4008,-4009,-4010,-4005,-4008,-4005,-4005,-4004,-4012,-4010,-4010,-4013,-4015,-4017,-4014,-4009,-4007,-4009,-4008,-4009,-4014,-4008,-4008,-4010,-4012,-4018,-4018,-4006,-4010,-4008,-4005,-4016,-4008,-4014,-4010,-4018,-4010,-4008,-4007,-4006,-4012,-4013,-4007,-4013,-4015,-4008,-4014,-4009,-4010,-4012,-4015,-4009,-4009,-4004,-4005,0,SJNFAAZE0U6064208,79.14,13.04,67715,251,1297,36.75,36.5,35,36.75,8,91.45,-8927,99,1580372745,19880,4,6,0,10,4,0,0,0,4,384.77,384.77,7F,1,1,1,80,55,40,40,8399,8690,19,25.75
30/01/2020 08:26,52 34.87283,-3 52.61786,255,55,338,952375,740504,386.78,36.69,4036,4021,4029,15,0,52,11.1,51.2,10.7,none,none,49.8,9.9,-4031,-4026,-4031,-4030,-4031,-4029,-4026,-4029,-4028,-4030,-4031,-4030,-4031,-4029,-4031,-4029,-4028,-4029,-4026,-4029,-4036,-4033,-4026,-4029,-4031,-4029,-4026,-4026,-4028,-4033,-4030,-4030,-4027,-4033,-4031,-4026,4026,-4033,-4026,-4021,-4031,-4033,-4030,-4030,-4031,-4029,-4026,-4021,-4031,-4028,-4027,-4030,-4032,-4030,-4031,-4030,-4028,-4032,-4031,-4029,-4028,-4034,-4031,-4029,-4031,-4028,-4030,-4030,-4028,-4030,-4031,-4030,-4033,-4029,-4026,-4026,-4032,-4030,-4031,-4027,-4028,-4033,-4030,-4024,-4031,-4030,-4031,-4035,-4031,-4029,-4026,-4027,-4031,-4028,-4030,-4033,0,SJNFAAZE0U6064208,79.14,13.04,67715,251,1297,37,36.75,35.25,37,8,91.45,-8927,99,1580372765,11920,4,2,0,10,0,0,0,0,4,386.71,386.71,7F,1,1,1,80,55,40,40,8765,9069,19,16.75
30/01/2020 08:26,52 34.68388,-3 52.8374,252,52,337,950403,740504,386.88,33.738,4038,4026,4030,12,0,52,11.1,51.2,10.7,none,none,49.6,9.8,-4030,-4030,-4035,-4030,-4031,-4033,-4030,-4033,-4028,-4030,-4031,-4030,-4026,-4029,-4026,-4029,-4028,-4033,-4026,-4029,-4031,-4033,-4031,-4029,-4026,-4029,-4026,-4030,-4028,-4029,-4026,-4026,-4027,-4033,-4026,-4026,4026,-4033,-4026,-4026,-4027,-4029,-4030,-4030,-4031,-4029,-4026,-4026,-4026,-4033,-4031,-4030,-4032,-4034,-4030,-4030,-4037,-4032,-4031,-4038,-4033,-4034,-4030,-4033,-4036,-4033,-4030,-4038,-4032,-4034,-4030,-4030,-4037,-4033,-4031,-4030,-4036,-4034,-4030,-4036,-4032,-4028,-4030,-4033,-4030,-4034,-4030,-4034,-4035,-4034,-4029,-4031,-4035,-4037,-4035,-4033,0,SJNFAAZE0U6064208,79.14,12.96,67716,251,1297,37.25,37,35.25,37.25,8,91.45,-8927,99,1580372783,10480,4,2,0,10,0,0,0,0,4,386.71,386.71,7F,1,1,1,80,55,40,40,8392,8683,19,16.25
30/01/2020 08:26,52 34.55456,-3 53.02206,249,44,337,948959,740504,391.39,-11.765,4082,4068,4077,14,0,52.1,11.2,51.4,10.8,none,none,49.8,9.9,-4078,-4077,-4076,-4077,-4081,-4080,-4076,-4080,-4074,-4077,-4077,-4073,-4076,-4076,-4072,-4076,-4078,-4076,-4076,-4076,-4077,-4080,-4081,-4076,-4076,-4080,-4076,-4077,-4078,-4076,-4076,-4073,-4077,-4075,-4076,-4073,4076,-4080,-4072,-4073,-4081,-4076,-4080,-4077,-4077,-4076,-4076,-4068,-4078,-4080,-4081,-4077,-4079,-4076,-4077,-4077,-4077,-4079,-4076,-4076,-4080,-4075,-4077,-4080,-4077,-4080,-4080,-4074,-4079,-4080,-4077,-4077,-4075,-4080,-4076,-4073,-4079,-4080,-4077,-4077,-4079,-4080,-4076,-4072,-4077,-4076,-4082,-4076,-4078,-4080,-4077,-4075,-4078,-4080,-4080,-4076,0.22,SJNFAAZE0U6064208,79.14,12.96,67716,251,1297,37.25,37.5,35.5,37,7.5,91.45,-8935,99,1580372798,0,4,2,0,10,0,0,0,0,4,391.19,391.19,7F,1,1,1,80,56,40,40,7036,7280,19,-7
30/01/2020 08:26,52 34.4751,-3 53.22135,249,41,337,948380,740504,389.28,16.536,4060,4048,4055,12,0,52.1,11.2,51.2,10.7,none,none,50,10,-4055,-4053,-4054,-4053,-4055,-4056,-4054,-4056,-4052,-4053,-4055,-4053,-4050,-4051,-4054,-4051,-4052,-4056,-4050,-4051,-4055,-4055,-4054,-4051,-4054,-4056,-4050,-4053,-4052,-4056,-4054,-4053,-4050,-4055,-4054,-4048,4054,-4056,-4050,-4048,-4059,-4060,-4058,-4057,-4055,-4056,-4054,-4053,-4054,-4060,-4059,-4057,-4057,-4060,-4058,-4057,-4059,-4059,-4059,-4060,-4055,-4055,-4053,-4056,-4055,-4060,-4058,-4058,-4055,-4060,-4058,-4057,-4057,-4056,-4054,-4053,-4057,-4056,-4053,-4053,-4055,-4060,-4058,-4058,-4058,-4060,-4053,-4055,-4054,-4055,-4057,-4055,-4058,-4060,-4058,-4060,0.11,SJNFAAZE0U6064208,79.14,13.04,67716,251,1297,37.5,37.25,35.75,37.25,7.5,91.45,-8935,99,1580372814,4680,4,2,0,10,0,0,0,0,4,389.41,389.41,7F,1,1,1,80,56,40,40,6487,6712,19,8.75
